per_seat_reservation_price_eth,total_reservation_cost_eth,break_even_eth,attackable_value_share_top_gap_decile,attackable_value_share_top3_gap_deciles
0.0,0.0,0.0,0.30722347262903277,0.45861398247058677
1e-05,0.00257,0.00257,0.3072294913949121,0.45861899970985126
0.0001,0.0257,0.0257,0.3701042127044062,0.5067185963046337
0.001,0.257,0.257,0.5062737155133209,0.5988670690816355
0.01,2.57,2.57,0.5485810910716945,0.6170084054328426
0.1,25.7,25.7,0.4273497834159019,0.4521778388638716
